,Sr.no,Year,Mo,Dy,Hr,Mn,Sec,TsunamiNanEventNanValidity,TsunamiNanCauseNanCode,EarthquakeNanMagnitude,Vol,MoreNanInfo,Deposits,Country,LocationNanName,Latitude,Longitude,MaximumNanWaterNanHeightNan(m),NumberNanofNanRunups,TsunamiNanMagnitudeNan(Abe),TsunamiNanMagnitudeNan(Iida),TsunamiNanIntensity,Deaths,DeathNanDescription,Missing,MissingNanDescription,Injuries,InjuriesNanDescription,DamageNan($Mil),DamageNanDescription,HousesNanDestroyed,HousesNanDestroyedNanDescription,HousesNanDamaged,HousesNanDamagedNanDescription,TotalNanDeaths,TotalNanDeathNanDescription,TotalNanMissing,TotalNanMissingNanDescription,TotalNanInjuries,TotalNanInjuriesNanDescription,TotalNanDamageNan($Mil),TotalNanDamageNanDescription,TotalNanHousesNanDestroyed,TotalNanHousesNanDestroyedNanDescription,TotalNanHousesNanDamaged,TotalNanHousesNanDamagedNanDescription,Code
81,82,1906,4.0,18.0,13.0,12.0,0.0,4,3,7.9,,,0,Usa,N.NanCALIFORNIA,37.7,-122.5,0.1,3,,-3.3,-4.0,,,,,,,,,,,,,,,,,,,,,,,,,USA
82,83,1906,5.0,7.0,,,,2,1,,,,0,Chile,NORTHERNNanCHILE,-18.5,-70.3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHL
83,84,1906,5.0,25.0,,,,2,0,,,,0,El Salvador,OFFNanCOAST,13.25,-88.83,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,SLV
84,85,1906,7.0,1.0,,,,1,0,,,,0,"Marshall Islands, Rep. Of",MARSHALLNanISLANDS,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,86,1906,8.0,7.0,,,,2,0,,,,0,Usa,S.NanCALIFORNIA,33.9,-117.0,0.02,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA
86,87,1906,8.0,17.0,0.0,40.0,,3,1,8.2,,,0,Chile,CENTRALNanCHILE,-33.0,-72.0,3.5,35,,1.8,2.0,,,,,,,,1.0,,,,,4000.0,4.0,,,,,100.0,4.0,,,,,CHL
87,88,1906,9.0,14.0,16.0,4.0,18.0,4,1,8.0,,,0,Papua New Guinea,SOLOMONNanSEA,-7.0,149.0,1.5,7,,0.6,1.5,,,,,,,,1.0,,,,,,2.0,,,,,,3.0,,3.0,,,PNG
88,89,1906,10.0,2.0,1.0,50.0,,3,1,7.2,,,0,Papua New Guinea,BISMARCKNanSEA,-4.0,149.0,1.2,2,,,1.5,,,,,,,,,,,,,,,,,,,,1.0,,,,,PNG
89,90,1906,11.0,6.0,,,,-1,9,,,,0,Usa,WASHINGTON-OREGON,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA
90,91,1906,11.0,20.0,21.0,0.0,,3,1,5.0,,,0,Ghana,GOLDNanCOAST,6.5,0.3,,1,,,,,,,,,,,,,,,,,,,,,,,2.0,,3.0,,,GHA
91,92,1906,11.0,28.0,,,,2,6,,7529.0,,0,Samoa,MATAVANUNanVOLCANO,-13.612,-172.525,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,WSM
92,93,1906,12.0,26.0,6.0,53.0,28.0,2,1,7.9,,,0,Peru,S.NanPERU,-18.0,-71.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,PER
93,94,1906,,,,,,1,2,,,,0,Venezuela,MAIQUETIA,10.6,-66.95,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,95,1907,1.0,4.0,5.0,19.0,13.2,4,1,8.2,,,0,Indonesia,NW.NanSUMATRA,2.681,95.53,15.0,88,,1.5,2.0,2188.0,4.0,,,,,,3.0,,3.0,,,2188.0,4.0,,,,,,3.0,,3.0,,,IDN
95,96,1907,1.0,14.0,20.0,38.0,12.0,4,1,6.2,,,0,Jamaica,JAMAICA,18.667,-76.237,2.5,10,,1.3,,,,,,,,,2.0,,,,,1000.0,3.0,,,,,30.0,4.0,,3.0,,,JAM
96,97,1907,3.0,29.0,20.0,46.0,30.0,1,1,7.3,,,0,Indonesia,"KARAKELONG,NanTALAUDNanISLANDS",3.0,122.0,4.0,1,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,IDN
97,98,1907,4.0,14.0,6.0,8.0,6.0,3,1,8.1,,,0,Mexico,S.NanMEXICO,17.0,-100.0,2.0,3,,1.0,,,,,,,,,,,,,,8.0,1.0,,,,,,2.0,,3.0,,,MEX
98,99,1907,6.0,8.0,,,,2,6,,7530.0,,0,Samoa,MATAVANUNanVOLCANO,-13.612,-172.525,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,WSM
99,100,1907,6.0,19.0,,,,2,6,,7531.0,,0,Samoa,MATAVANUNanVOLCANO,-13.612,-172.525,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,WSM
100,101,1907,6.0,27.0,,,,2,6,,7532.0,,0,Samoa,MATAVANUNanVOLCANO,-13.612,-172.525,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,WSM
101,102,1907,7.0,9.0,,,,2,6,,7533.0,,0,Samoa,MATAVANUNanVOLCANO,-13.612,-172.525,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,WSM
