,TsunamiNanCauseNanCode,EarthquakeNanMagnitude,MaximumNanWaterNanHeightNan(m),TotalNanDeaths,TsunamiNanIntensity,NumberNanofNanRunups
792,1,7.2,0.23,,,3
793,1,7.6,0.06,,,1
794,1,6.0,0.03,,,1
795,1,7.3,,15.0,1.0,1
796,1,6.5,,,,0
797,1,7.9,0.46,66794.0,,15
798,1,6.0,,,,0
799,1,6.4,,,,0
800,1,7.0,0.32,,,35
801,1,5.1,1.0,,,1
802,1,5.3,,,0.5,1
803,3,7.3,3.0,18.0,0.5,3
804,1,6.0,,,,0
805,1,5.1,0.8,,2.0,1
806,8,,30.0,600.0,,0
807,1,7.1,0.04,,-3.0,1
808,1,7.8,0.6,83.0,0.0,1
809,1,7.9,6.0,3.0,1.0,32
810,1,7.9,10.0,,1.5,39
811,1,7.3,0.51,,-0.5,17
812,1,7.1,2.0,,1.0,29
813,1,5.5,0.32,,,11
814,6,,,,,1
815,1,6.6,0.09,,-3.0,2
816,1,6.2,0.07,,-3.0,1
817,3,7.0,1.8,,0.5,1
818,1,6.0,0.03,,-4.0,1
819,1,5.7,0.1,,,2
820,1,7.8,0.47,,,12
821,1,7.5,0.05,1.0,-2.0,2
822,1,7.4,0.42,,0.5,28
823,1,6.6,,,,0
824,3,7.6,0.1,,-2.0,3
825,1,7.1,0.6,,,1
826,8,,1.5,,,2
827,1,5.2,,,,0
828,6,,,,,1
829,1,7.4,0.5,,,32
830,1,7.4,0.5,,-1.0,39
831,1,5.4,,,,0
832,1,7.5,1.13,56.0,,9
833,1,7.2,1.5,,0.5,7
834,1,7.5,1.3,15.0,,2
835,1,7.7,5.96,,1.0,72
836,1,7.1,0.64,,,32
837,1,6.6,0.21,,,2
838,1,6.7,0.2,,-1.0,1
839,6,,,2.0,,0
840,1,7.0,1.5,,1.0,2
841,1,7.1,4.5,,2.0,4
842,1,6.7,0.2,30.0,-2.5,5
843,1,7.1,,,,0
844,1,6.7,0.37,,-1.0,3
845,1,8.1,0.92,78.0,1.0,35
846,8,,2.8,,,0
